ID,SEX,AGE,AREAdis,MARRIED,CHILD,Undesirable,ConservatibeBuying,FoodLiteracy01,FoodLiteracy02,FoodLiteracy03,FoodLiteracy04,FoodLiteracy05,FoodLiteracy06,FoodLiteracy07,FoodLiteracy08,FoodLiteracy09,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Quiz06
1,1,53,195.9,2,2,4,3,3,3,3,3,3,3,3,3,3,4,1,1,2,3,2
2,1,54,946,2,2,6,2,4,4,3,4,3,2,2,2,2,3,1,2,1,3,3
3,1,48,0,2,1,6,6,5,5,5,5,5,5,5,5,5,3,3,2,1,4,2
4,1,59,0,2,2,5,3,1,4,2,3,2,2,2,2,2,4,1,2,2,3,1
5,1,52,141.3,1,2,4,3,4,3,3,3,3,3,3,5,1,3,1,2,1,3,1
6,1,39,0,2,2,5,5,3,3,3,5,3,3,3,4,3,5,5,2,2,3,5
7,2,55,222.4,2,2,4,4,4,3,3,3,3,3,3,3,3,5,5,5,5,3,5
8,1,58,583.8,2,2,4,3,3,2,2,3,2,2,2,2,2,3,5,5,2,4,2
9,2,41,679.9,1,1,4,1,4,3,3,4,4,4,4,4,3,2,1,2,5,2,1
10,1,43,195.9,2,2,4,3,4,3,3,4,4,4,3,4,4,3,1,2,5,5,2
11,1,48,819.8,2,2,5,4,3,3,4,4,4,3,3,5,4,1,1,1,1,2,2
12,1,55,0,2,2,4,4,4,3,2,3,4,4,4,4,4,3,1,2,2,3,1
13,1,54,236.8,2,2,4,3,3,3,3,3,3,3,3,3,3,1,5,5,2,5,5
14,1,47,238.9,2,2,3,1,3,4,3,3,4,4,4,5,3,1,5,5,5,2,5
15,2,55,427.9,2,2,6,4,4,3,2,3,3,2,2,2,3,1,5,5,2,5,2
16,2,35,67.7,2,1,6,4,3,4,2,2,2,2,3,3,2,3,4,3,1,3,2
17,1,45,594.8,2,2,5,5,3,3,3,3,3,3,3,4,3,3,1,4,5,5,5
18,2,44,583.8,2,2,5,5,4,4,4,3,3,4,4,4,3,3,1,2,2,3,1
19,1,53,238.9,1,1,4,3,3,4,2,3,3,4,3,3,3,1,5,2,1,1,1
